tweet_text	cord_uid
Oral care in rehabilitation medicine: oral vulnerability, oral muscle wasting, and hospital-associated oral issues	htlvpvz5
this study isn't receiving sufficient attention. it reveals black/latino/indigenous individuals aren't just succumbing to covid at higher rates than whites but are also passing away *earlier*.   90% of white fatalities occur in those 65+, 90% of black fatalities occur in those 55+,  89% of indigenous fatalities occur in those 45+	4kfl29ul
thanks, xi jinping. a reminder that this study concludes that if non-pharmaceutical interventions had been implemented three weeks earlier by china (ie not covered up) spread could have been reduced by 95%	jtwb17u8
"Taiwan - a population of 23 million has had just 600 cases &amp; 7 deaths. widespread mask use &amp; strict quarantine measures stand out. eradication is possible but requires determination &amp; a commitment to caring for everyone not just the chosen few arbitrarily considered essential to society"	0w9k8iy1
Obtaining a diagnosis of autism in lower income countries can take a lengthy period. Our new study modified a screening tool, the Q-Chat, for use in regular health check-ups in Chile. We discovered proof this enhances autism diagnosis in a low-income nation.	tiqksd69
we demonstrated that merscov can preferentially select for distinct variants in cells from an alternate host (i.e. bats):	ut1k8xe7
A covid'strain' emerged in spain in the summer and by mid-september, the strain was at 80% dominance in wales and scotland. this strain's'spread' was not attributed to 'infectiousness' but due to travel, lack of effective screening, and containment.	xavegbty
"breaking: recent study reveals people without symptoms do not spread the virus!  ""there was no evidence of transmission from asymptomatic positive persons to traced close contacts."" time to lift restrictions?"	yj3yisum
Mutations don't appear to impact transmission greatly. For instance, the most researched mutation linked to increased transmission, d614g, emerged separately in various genetic lineages but only one of those increased in prevalence. 4/	3jgm3uhs
Based on this study of ten million people discovering no asymptomatic spread, my governor and my peers have been strongly criticizing me over the past nine months. Why are you still enforcing mandates, ⁦⁩? That’s a human rights abuse.	yj3yisum
right, it’s clear who is at risk of death once infected. the point is that risk of infection is often underestimated as a key factor for minimizing casualties, especially given how covid-19 spreads in practice.	vm1o1cel
Significant new findings. share #covid19 related functional gi disorders. I wonder if they exhibit immune activation and heightened duodenal eosinophils/mast cell activation? post-infection functional gastrointestinal disorders following corona virus disease-19. #gitwitter	1rxw5xro
This occurred. fully vaccinated patient transmitted sars-cov-2 to fully vaccinated hospital staff, family, and acquaintances. 5 people perished. 9 had severe conditions.	lbkjxws4
A study forecasts a high post-COVID reinfection rate, averaging 16 months later. It highlights the necessity for vaccination after infection for personal protection (one mRNA shot may be sufficient), & that low-vaccination states may be misled by short-term immunity from COVID cases but face severe consequences later.	z4cq9klm
"""SARS-CoV-2 was found to infect and cross through brain microvascular endothelial cells, and the permeability of the infected vessel was heightened."" ""Furthermore, disruption of blood-brain barrier was discovered in the infected hamsters."""	2w6p6jji
there are numerous sources, but one i like to share is the 2.3% of college athletes that had diagnosed myocarditis following a recent covid infection. that's several orders of magnitude higher than the risk from the vaccine.	dzlqe7n5
"covid recovery: this study from the usa reveals that a proportion of cases experience impairment in some cognitive functions for several months after infection. some possible biases &amp; limitations but more research is required on impact of these long term effects."	3qvh482o
